search,input_length,date,time,datetime
,15,10/5/19,17:11:47,10/5/19 17:11
,44,10/5/19,16:48:04,10/5/19 16:48
,18,10/5/19,16:28:48,10/5/19 16:28
,11,10/5/19,14:42:22,10/5/19 14:42
,27,10/5/19,14:04:06,10/5/19 14:04
,30,10/5/19,13:57:19,10/5/19 13:57
,38,10/5/19,13:43:19,10/5/19 13:43
,33,10/5/19,13:38:09,10/5/19 13:38
,30,10/5/19,13:38:02,10/5/19 13:38
,23,10/4/19,19:38:24,10/4/19 19:38
,31,10/4/19,19:38:40,10/4/19 19:38
,20,10/4/19,19:32:14,10/4/19 19:32
,10,10/4/19,19:30:24,10/4/19 19:30
,27,10/4/19,18:39:45,10/4/19 18:39
,31,10/4/19,18:31:28,10/4/19 18:31
,31,10/4/19,18:31:32,10/4/19 18:31
,20,10/4/19,18:25:14,10/4/19 18:25
,20,10/4/19,18:20:32,10/4/19 18:20
,26,10/4/19,18:10:56,10/4/19 18:10
,36,10/4/19,18:09:14,10/4/19 18:09
,17,10/4/19,18:07:07,10/4/19 18:07
,29,10/4/19,17:40:37,10/4/19 17:40
,25,10/4/19,17:39:30,10/4/19 17:39
,26,10/4/19,17:34:05,10/4/19 17:34
,25,10/4/19,17:26:42,10/4/19 17:26
,28,10/4/19,15:01:27,10/4/19 15:01
,13,10/4/19,1:53:30,10/4/19 1:53
,24,10/4/19,1:31:56,10/4/19 1:31
,22,10/4/19,1:31:44,10/4/19 1:31
,34,10/4/19,1:22:06,10/4/19 1:22
,30,10/4/19,1:21:06,10/4/19 1:21
,31,10/4/19,1:12:32,10/4/19 1:12
,13,10/4/19,1:11:06,10/4/19 1:11
,22,10/4/19,1:11:36,10/4/19 1:11
,33,10/4/19,0:58:21,10/4/19 0:58
,43,10/3/19,20:07:06,10/3/19 20:07
,34,10/3/19,19:58:43,10/3/19 19:58
,37,10/3/19,19:46:08,10/3/19 19:46
,30,10/3/19,19:46:41,10/3/19 19:46
,13,10/3/19,19:35:16,10/3/19 19:35
,11,10/3/19,19:34:39,10/3/19 19:34
,40,10/3/19,19:33:35,10/3/19 19:33
,30,10/3/19,19:27:18,10/3/19 19:27
,20,10/3/19,19:24:30,10/3/19 19:24
,15,10/3/19,19:18:23,10/3/19 19:18
,15,10/3/19,19:17:32,10/3/19 19:17
,18,10/3/19,19:17:17,10/3/19 19:17
,23,10/3/19,19:14:09,10/3/19 19:14
,7,10/3/19,16:57:17,10/3/19 16:57
,32,10/3/19,16:01:50,10/3/19 16:01
,21,10/3/19,15:54:59,10/3/19 15:54
,9,10/3/19,2:14:24,10/3/19 2:14
,11,10/3/19,0:18:57,10/3/19 0:18
,37,10/3/19,0:14:37,10/3/19 0:14
,13,10/2/19,19:43:24,10/2/19 19:43
,17,10/2/19,18:30:22,10/2/19 18:30
,30,10/2/19,17:56:17,10/2/19 17:56
,25,10/2/19,17:55:38,10/2/19 17:55
,29,10/2/19,17:33:54,10/2/19 17:33
,32,10/2/19,17:33:00,10/2/19 17:33
,22,10/2/19,2:55:28,10/2/19 2:55
,9,10/2/19,1:50:58,10/2/19 1:50
,5,10/2/19,1:50:53,10/2/19 1:50
,23,10/1/19,13:41:26,10/1/19 13:41
,27,10/1/19,0:50:12,10/1/19 0:50
,23,10/1/19,0:48:13,10/1/19 0:48
,16,10/1/19,0:45:34,10/1/19 0:45
,7,10/1/19,0:40:18,10/1/19 0:40
,18,9/30/19,18:18:02,9/30/19 18:18
,23,9/30/19,17:45:41,9/30/19 17:45
,25,9/30/19,17:45:11,9/30/19 17:45
,20,9/30/19,17:43:50,9/30/19 17:43
,15,9/30/19,17:39:38,9/30/19 17:39
,8,9/30/19,15:34:19,9/30/19 15:34
,30,9/30/19,15:34:27,9/30/19 15:34
,25,9/30/19,15:23:21,9/30/19 15:23
,30,9/30/19,15:18:43,9/30/19 15:18
,21,9/30/19,15:16:08,9/30/19 15:16
,27,9/30/19,15:16:59,9/30/19 15:16
,29,9/30/19,15:11:09,9/30/19 15:11
,14,9/30/19,15:08:08,9/30/19 15:08
,25,9/30/19,15:08:44,9/30/19 15:08
,25,9/30/19,15:08:42,9/30/19 15:08
,22,9/30/19,15:07:45,9/30/19 15:07
,22,9/30/19,15:07:30,9/30/19 15:07
,21,9/30/19,15:02:14,9/30/19 15:02
,20,9/30/19,15:02:12,9/30/19 15:02
,38,9/30/19,14:39:42,9/30/19 14:39
,6,9/30/19,14:38:35,9/30/19 14:38
,10,9/30/19,14:38:38,9/30/19 14:38
,3,9/30/19,0:07:18,9/30/19 0:07
,20,9/27/19,20:10:32,9/27/19 20:10
,11,9/27/19,19:58:22,9/27/19 19:58
,20,9/27/19,19:57:27,9/27/19 19:57
,25,9/27/19,19:54:50,9/27/19 19:54
,19,9/27/19,19:53:27,9/27/19 19:53
,23,9/27/19,19:53:00,9/27/19 19:53
,48,9/27/19,19:52:06,9/27/19 19:52
,52,9/27/19,19:52:22,9/27/19 19:52
,32,9/27/19,19:50:10,9/27/19 19:50
,26,9/27/19,19:49:40,9/27/19 19:49
,24,9/27/19,19:49:27,9/27/19 19:49
,8,9/27/19,19:37:39,9/27/19 19:37
,18,9/27/19,1:51:06,9/27/19 1:51
,23,9/27/19,1:48:00,9/27/19 1:48
,54,9/27/19,1:40:13,9/27/19 1:40
,19,9/27/19,1:20:19,9/27/19 1:20
,21,9/27/19,1:18:08,9/27/19 1:18
,19,9/27/19,1:17:07,9/27/19 1:17
,24,9/27/19,1:16:33,9/27/19 1:16
,14,9/27/19,1:09:25,9/27/19 1:09
,31,9/27/19,1:08:28,9/27/19 1:08
,18,9/27/19,0:38:44,9/27/19 0:38
,14,9/27/19,0:29:46,9/27/19 0:29
,10,9/27/19,0:26:54,9/27/19 0:26
,10,9/26/19,17:54:02,9/26/19 17:54
,37,9/25/19,19:20:05,9/25/19 19:20
,37,9/25/19,19:19:54,9/25/19 19:19
,32,9/25/19,19:18:52,9/25/19 19:18
,8,9/25/19,18:35:03,9/25/19 18:35
,25,9/25/19,18:34:58,9/25/19 18:34
,10,9/25/19,15:40:18,9/25/19 15:40
,39,9/25/19,15:32:04,9/25/19 15:32
,17,9/25/19,15:25:46,9/25/19 15:25
,8,9/24/19,18:25:45,9/24/19 18:25
,18,9/24/19,18:25:22,9/24/19 18:25
,13,9/24/19,18:25:37,9/24/19 18:25
,21,9/24/19,18:00:37,9/24/19 18:00
,13,9/24/19,17:43:27,9/24/19 17:43
,9,9/24/19,17:42:10,9/24/19 17:42
,10,9/24/19,1:45:29,9/24/19 1:45
,36,9/23/19,18:54:52,9/23/19 18:54
,14,9/23/19,18:52:33,9/23/19 18:52
,16,9/23/19,18:52:27,9/23/19 18:52
,15,9/23/19,18:19:19,9/23/19 18:19
,10,9/23/19,18:17:20,9/23/19 18:17
,15,9/23/19,18:17:36,9/23/19 18:17
,11,9/23/19,1:30:46,9/23/19 1:30
,33,9/22/19,16:29:07,9/22/19 16:29
,26,9/22/19,16:28:54,9/22/19 16:28
,30,9/22/19,16:23:42,9/22/19 16:23
,9,9/22/19,16:22:56,9/22/19 16:22
,21,9/22/19,15:21:46,9/22/19 15:21
,45,9/22/19,15:17:18,9/22/19 15:17
,19,9/22/19,15:14:44,9/22/19 15:14
,21,9/22/19,15:13:13,9/22/19 15:13
,11,9/22/19,14:56:35,9/22/19 14:56
,18,9/22/19,3:52:31,9/22/19 3:52
,23,9/22/19,3:51:08,9/22/19 3:51
,9,9/22/19,3:41:54,9/22/19 3:41
,16,9/22/19,3:31:51,9/22/19 3:31
,21,9/22/19,3:31:46,9/22/19 3:31
,30,9/22/19,3:14:26,9/22/19 3:14
,14,9/21/19,19:45:20,9/21/19 19:45
,18,9/21/19,19:03:38,9/21/19 19:03
,5,9/21/19,17:48:48,9/21/19 17:48
,11,9/21/19,17:37:20,9/21/19 17:37
,11,9/21/19,17:25:00,9/21/19 17:25
,20,9/21/19,17:25:12,9/21/19 17:25
,13,9/21/19,17:25:24,9/21/19 17:25
,19,9/21/19,17:25:31,9/21/19 17:25
,26,9/21/19,17:19:46,9/21/19 17:19
,31,9/21/19,17:19:49,9/21/19 17:19
,11,9/21/19,17:02:19,9/21/19 17:02
,24,9/21/19,16:01:11,9/21/19 16:01
,28,9/21/19,14:37:36,9/21/19 14:37
,26,9/21/19,14:26:05,9/21/19 14:26
,33,9/21/19,14:26:18,9/21/19 14:26
,27,9/21/19,14:22:53,9/21/19 14:22
,24,9/21/19,14:22:28,9/21/19 14:22
,39,9/21/19,14:21:21,9/21/19 14:21
,7,9/21/19,13:34:09,9/21/19 13:34
,526,9/19/19,20:15:16,9/19/19 20:15
,30,9/19/19,20:13:31,9/19/19 20:13
,10,9/19/19,14:21:42,9/19/19 14:21
,5,9/19/19,2:41:16,9/19/19 2:41
,18,9/19/19,2:24:35,9/19/19 2:24
,28,9/19/19,2:11:15,9/19/19 2:11
,19,9/19/19,2:10:11,9/19/19 2:10
,20,9/19/19,2:10:16,9/19/19 2:10
,31,9/19/19,2:04:33,9/19/19 2:04
,66,9/19/19,1:52:09,9/19/19 1:52
,22,9/19/19,1:47:29,9/19/19 1:47
,25,9/19/19,1:34:52,9/19/19 1:34
,21,9/19/19,0:59:21,9/19/19 0:59
,17,9/19/19,0:52:05,9/19/19 0:52
,13,9/18/19,22:22:52,9/18/19 22:22
,22,9/18/19,22:18:02,9/18/19 22:18
,38,9/18/19,22:11:59,9/18/19 22:11
,18,9/18/19,22:09:09,9/18/19 22:09
,22,9/18/19,22:06:28,9/18/19 22:06
,25,9/18/19,21:56:18,9/18/19 21:56
,17,9/18/19,21:48:29,9/18/19 21:48
,30,9/18/19,21:11:03,9/18/19 21:11
,27,9/18/19,21:11:19,9/18/19 21:11
,5,9/18/19,15:48:09,9/18/19 15:48
,16,9/18/19,15:24:43,9/18/19 15:24
,50,9/18/19,15:23:50,9/18/19 15:23
,38,9/18/19,15:02:38,9/18/19 15:02
,15,9/18/19,14:46:43,9/18/19 14:46
,14,9/18/19,0:43:33,9/18/19 0:43
,18,9/17/19,20:04:44,9/17/19 20:04
,18,9/17/19,0:43:49,9/17/19 0:43
,23,9/16/19,14:59:52,9/16/19 14:59
,34,9/15/19,1:08:44,9/15/19 1:08
,24,9/15/19,1:05:21,9/15/19 1:05
,12,9/15/19,0:21:34,9/15/19 0:21
,24,9/14/19,23:46:57,9/14/19 23:46
,31,9/14/19,23:23:25,9/14/19 23:23
,23,9/14/19,20:34:21,9/14/19 20:34
,34,9/14/19,20:34:53,9/14/19 20:34
,22,9/14/19,20:29:51,9/14/19 20:29
,37,9/14/19,20:23:34,9/14/19 20:23
,19,9/14/19,20:11:17,9/14/19 20:11
,46,9/14/19,19:56:40,9/14/19 19:56
,46,9/14/19,19:36:03,9/14/19 19:36
,17,9/14/19,3:51:39,9/14/19 3:51
,24,9/14/19,3:51:15,9/14/19 3:51
,18,9/14/19,3:04:17,9/14/19 3:04
,31,9/14/19,2:41:45,9/14/19 2:41
,17,9/14/19,2:37:32,9/14/19 2:37
,32,9/14/19,2:31:03,9/14/19 2:31
,39,9/14/19,2:31:08,9/14/19 2:31
,26,9/14/19,1:43:01,9/14/19 1:43
,21,9/14/19,1:42:47,9/14/19 1:42
,22,9/13/19,22:17:20,9/13/19 22:17
,13,9/13/19,22:17:36,9/13/19 22:17
,29,9/13/19,20:03:51,9/13/19 20:03
,15,9/13/19,18:13:34,9/13/19 18:13
,22,9/13/19,18:04:05,9/13/19 18:04
,25,9/13/19,17:59:20,9/13/19 17:59
,24,9/13/19,17:57:34,9/13/19 17:57
,35,9/13/19,17:55:08,9/13/19 17:55
,19,9/13/19,17:55:27,9/13/19 17:55
,24,9/13/19,17:52:05,9/13/19 17:52
,22,9/13/19,17:48:13,9/13/19 17:48
,20,9/13/19,17:46:16,9/13/19 17:46
,41,9/12/19,14:22:16,9/12/19 14:22
,16,9/12/19,13:26:48,9/12/19 13:26
,17,9/12/19,13:26:23,9/12/19 13:26
,13,9/12/19,13:24:53,9/12/19 13:24
,37,9/12/19,13:18:39,9/12/19 13:18
,32,9/12/19,13:18:27,9/12/19 13:18
,29,9/12/19,1:27:44,9/12/19 1:27
,18,9/12/19,1:25:12,9/12/19 1:25
,30,9/12/19,1:22:18,9/12/19 1:22
,14,9/11/19,19:51:28,9/11/19 19:51
,9,9/11/19,19:07:15,9/11/19 19:07
,13,9/11/19,17:44:58,9/11/19 17:44
,17,9/11/19,17:43:01,9/11/19 17:43
,20,9/11/19,14:48:37,9/11/19 14:48
,19,9/10/19,20:50:28,9/10/19 20:50
,14,9/10/19,20:44:16,9/10/19 20:44
,19,9/10/19,20:26:30,9/10/19 20:26
,48,9/10/19,14:36:40,9/10/19 14:36
,21,9/10/19,13:31:23,9/10/19 13:31
,8,9/10/19,13:30:02,9/10/19 13:30
,26,9/9/19,22:31:06,9/9/19 22:31
,25,9/9/19,22:31:25,9/9/19 22:31
,40,9/9/19,16:01:42,9/9/19 16:01
,28,9/9/19,16:00:17,9/9/19 16:00
,37,9/9/19,16:00:35,9/9/19 16:00
,38,9/9/19,16:00:56,9/9/19 16:00
,18,9/4/19,20:12:37,9/4/19 20:12
,46,9/4/19,19:08:26,9/4/19 19:08
,24,9/4/19,18:04:49,9/4/19 18:04
,6,9/4/19,17:56:15,9/4/19 17:56
,29,9/4/19,2:49:48,9/4/19 2:49
,40,9/4/19,2:14:38,9/4/19 2:14
,6,9/4/19,2:07:13,9/4/19 2:07
,34,9/4/19,2:01:57,9/4/19 2:01
,32,9/4/19,2:01:09,9/4/19 2:01
,28,9/4/19,2:00:37,9/4/19 2:00
,49,9/4/19,2:00:45,9/4/19 2:00
,23,9/4/19,1:45:15,9/4/19 1:45
,36,9/4/19,1:45:28,9/4/19 1:45
,22,9/4/19,1:43:34,9/4/19 1:43
,31,9/4/19,1:41:03,9/4/19 1:41
,20,9/4/19,1:40:16,9/4/19 1:40
,15,9/4/19,1:28:56,9/4/19 1:28
,40,9/4/19,1:26:39,9/4/19 1:26
,7,9/3/19,22:25:17,9/3/19 22:25
,12,9/3/19,22:06:11,9/3/19 22:06
,14,9/3/19,22:04:33,9/3/19 22:04
,11,9/3/19,22:02:08,9/3/19 22:02
,12,9/3/19,22:02:46,9/3/19 22:02
,19,9/3/19,21:58:30,9/3/19 21:58
,12,9/3/19,21:49:13,9/3/19 21:49
,28,9/3/19,21:37:24,9/3/19 21:37
,12,9/3/19,21:35:59,9/3/19 21:35
,3,9/3/19,21:26:36,9/3/19 21:26
,35,9/3/19,21:14:52,9/3/19 21:14
,24,9/3/19,19:02:42,9/3/19 19:02
,18,9/3/19,19:02:37,9/3/19 19:02
,46,9/3/19,14:40:10,9/3/19 14:40
,14,9/3/19,1:34:38,9/3/19 1:34
,3,9/2/19,19:21:03,9/2/19 19:21
,25,9/2/19,19:02:09,9/2/19 19:02
,5,9/1/19,18:36:41,9/1/19 18:36
,21,9/1/19,18:13:44,9/1/19 18:13
,25,8/31/19,18:28:05,8/31/19 18:28
,11,8/31/19,2:12:30,8/31/19 2:12
,36,8/31/19,2:04:21,8/31/19 2:04
,11,8/31/19,2:01:59,8/31/19 2:01
,14,8/31/19,2:01:44,8/31/19 2:01
,26,8/31/19,2:00:15,8/31/19 2:00
,33,8/31/19,1:48:15,8/31/19 1:48
,45,8/31/19,1:44:24,8/31/19 1:44
,29,8/31/19,1:35:45,8/31/19 1:35
,22,8/30/19,20:01:16,8/30/19 20:01
,16,8/29/19,16:48:21,8/29/19 16:48
,14,8/29/19,16:33:52,8/29/19 16:33
,21,8/29/19,16:32:04,8/29/19 16:32
,22,8/29/19,1:30:35,8/29/19 1:30
,35,8/28/19,18:50:46,8/28/19 18:50
,35,8/28/19,18:46:30,8/28/19 18:46
,24,8/28/19,18:45:27,8/28/19 18:45
,41,8/28/19,18:45:31,8/28/19 18:45
,20,8/28/19,17:39:21,8/28/19 17:39
,18,8/28/19,15:41:24,8/28/19 15:41
,24,8/28/19,15:36:49,8/28/19 15:36
,57,8/28/19,15:35:43,8/28/19 15:35
,10,8/28/19,15:32:03,8/28/19 15:32
,8,8/28/19,15:31:37,8/28/19 15:31
,37,8/28/19,15:29:39,8/28/19 15:29
,18,8/28/19,15:25:37,8/28/19 15:25
,23,8/28/19,15:18:25,8/28/19 15:18
,22,8/28/19,15:13:55,8/28/19 15:13
,6,8/28/19,15:07:40,8/28/19 15:07
,11,8/28/19,1:12:31,8/28/19 1:12
,28,8/28/19,1:10:19,8/28/19 1:10
,30,8/28/19,1:09:12,8/28/19 1:09
,28,8/27/19,22:25:29,8/27/19 22:25
,16,8/27/19,22:25:22,8/27/19 22:25
,20,8/27/19,21:44:28,8/27/19 21:44
,22,8/27/19,13:55:50,8/27/19 13:55
,18,8/27/19,2:49:37,8/27/19 2:49
,25,8/27/19,2:49:45,8/27/19 2:49
,25,8/27/19,2:46:14,8/27/19 2:46
,27,8/27/19,2:44:06,8/27/19 2:44
,30,8/27/19,2:43:15,8/27/19 2:43
,24,8/27/19,2:32:19,8/27/19 2:32
,24,8/27/19,2:07:54,8/27/19 2:07
,3,8/27/19,1:56:49,8/27/19 1:56
,12,8/27/19,0:49:54,8/27/19 0:49
,10,8/26/19,21:19:11,8/26/19 21:19
,23,8/26/19,21:05:18,8/26/19 21:05
,19,8/26/19,15:29:28,8/26/19 15:29
,14,8/26/19,13:16:14,8/26/19 13:16
,22,8/26/19,2:12:51,8/26/19 2:12
,17,8/26/19,2:08:57,8/26/19 2:08
,11,8/25/19,21:24:49,8/25/19 21:24
,30,8/25/19,21:09:16,8/25/19 21:09
,15,8/25/19,21:08:12,8/25/19 21:08
,24,8/25/19,20:55:30,8/25/19 20:55
,18,8/25/19,20:55:40,8/25/19 20:55
,14,8/25/19,20:53:58,8/25/19 20:53
,27,8/25/19,20:36:31,8/25/19 20:36
,12,8/25/19,20:12:52,8/25/19 20:12
,17,8/25/19,20:10:48,8/25/19 20:10
,24,8/25/19,20:10:19,8/25/19 20:10
,23,8/25/19,20:06:01,8/25/19 20:06
,23,8/25/19,19:56:57,8/25/19 19:56
,22,8/25/19,19:45:50,8/25/19 19:45
,24,8/25/19,19:45:36,8/25/19 19:45
,18,8/25/19,19:44:58,8/25/19 19:44
,24,8/25/19,19:34:09,8/25/19 19:34
,14,8/25/19,19:25:40,8/25/19 19:25
,23,8/25/19,19:24:04,8/25/19 19:24
,22,8/25/19,19:21:08,8/25/19 19:21
,25,8/25/19,3:04:58,8/25/19 3:04
,20,8/25/19,3:03:47,8/25/19 3:03
,51,8/25/19,3:02:46,8/25/19 3:02
,20,8/25/19,3:00:05,8/25/19 3:00
,31,8/25/19,1:32:51,8/25/19 1:32
,34,8/25/19,1:18:55,8/25/19 1:18
,22,8/24/19,23:02:00,8/24/19 23:02
,10,8/24/19,22:35:47,8/24/19 22:35
,27,8/24/19,16:38:19,8/24/19 16:38
,29,8/24/19,16:38:54,8/24/19 16:38
,20,8/24/19,16:37:52,8/24/19 16:37
,24,8/24/19,16:37:38,8/24/19 16:37
,22,8/24/19,16:37:20,8/24/19 16:37
,23,8/24/19,16:36:39,8/24/19 16:36
,24,8/24/19,16:18:51,8/24/19 16:18
,24,8/24/19,16:18:38,8/24/19 16:18
,29,8/24/19,16:18:46,8/24/19 16:18
,13,8/24/19,16:13:37,8/24/19 16:13
,10,8/24/19,15:53:34,8/24/19 15:53
,18,8/22/19,22:35:43,8/22/19 22:35
,17,8/22/19,22:32:27,8/22/19 22:32
,19,8/22/19,22:32:07,8/22/19 22:32
,18,8/22/19,22:32:37,8/22/19 22:32
,16,8/22/19,22:31:38,8/22/19 22:31
,22,8/22/19,22:31:50,8/22/19 22:31
,21,8/22/19,22:31:58,8/22/19 22:31
,19,8/22/19,22:29:19,8/22/19 22:29
,17,8/22/19,22:03:46,8/22/19 22:03
,13,8/22/19,3:09:43,8/22/19 3:09
,26,8/22/19,1:49:02,8/22/19 1:49
,20,8/22/19,1:48:27,8/22/19 1:48
,8,8/22/19,1:21:29,8/22/19 1:21
,11,8/22/19,1:21:14,8/22/19 1:21
,14,8/22/19,1:19:14,8/22/19 1:19
,24,8/22/19,1:16:22,8/22/19 1:16
,7,8/20/19,16:33:04,8/20/19 16:33
,12,8/20/19,16:15:13,8/20/19 16:15
,5,8/20/19,16:04:53,8/20/19 16:04
,12,8/20/19,15:54:46,8/20/19 15:54
,11,8/20/19,15:26:04,8/20/19 15:26
,32,8/19/19,20:45:27,8/19/19 20:45
,7,8/19/19,12:31:28,8/19/19 12:31
,31,8/18/19,15:55:52,8/18/19 15:55
,24,8/17/19,13:45:05,8/17/19 13:45
,12,8/17/19,13:41:16,8/17/19 13:41
,34,8/15/19,22:14:31,8/15/19 22:14
,24,8/15/19,22:11:19,8/15/19 22:11
,12,8/15/19,2:40:12,8/15/19 2:40
,19,8/15/19,2:39:34,8/15/19 2:39
,24,8/14/19,20:47:29,8/14/19 20:47
,38,8/14/19,20:47:29,8/14/19 20:47
,21,8/14/19,20:13:22,8/14/19 20:13
,21,8/14/19,16:16:57,8/14/19 16:16
,18,8/14/19,15:49:12,8/14/19 15:49
,12,8/14/19,15:46:38,8/14/19 15:46
,24,8/14/19,15:46:01,8/14/19 15:46
,22,8/14/19,15:46:01,8/14/19 15:46
,30,8/14/19,15:21:10,8/14/19 15:21
,31,8/14/19,15:21:03,8/14/19 15:21
,25,8/14/19,15:20:41,8/14/19 15:20
,39,8/14/19,15:19:34,8/14/19 15:19
,26,8/14/19,15:08:27,8/14/19 15:08
,29,8/14/19,14:54:29,8/14/19 14:54
,23,8/14/19,14:28:19,8/14/19 14:28
,18,8/14/19,14:23:05,8/14/19 14:23
,13,8/14/19,14:18:19,8/14/19 14:18
,21,8/13/19,17:56:52,8/13/19 17:56
,29,8/13/19,17:56:46,8/13/19 17:56
,25,8/13/19,17:46:57,8/13/19 17:46
,19,8/13/19,17:45:40,8/13/19 17:45
,38,8/13/19,17:31:13,8/13/19 17:31
,28,8/13/19,17:31:13,8/13/19 17:31
,20,8/13/19,17:26:48,8/13/19 17:26
,14,8/13/19,17:22:33,8/13/19 17:22
,21,8/13/19,17:05:16,8/13/19 17:05
,30,8/13/19,17:05:02,8/13/19 17:05
,23,8/13/19,17:00:29,8/13/19 17:00
,13,8/13/19,16:57:56,8/13/19 16:57
,35,8/13/19,16:12:07,8/13/19 16:12
,27,8/13/19,16:00:36,8/13/19 16:00
,19,8/13/19,15:00:24,8/13/19 15:00
,14,8/13/19,15:00:37,8/13/19 15:00
,20,8/13/19,14:58:52,8/13/19 14:58
,31,8/13/19,14:56:44,8/13/19 14:56
,26,8/13/19,14:16:25,8/13/19 14:16
,31,8/13/19,14:11:42,8/13/19 14:11
,18,8/12/19,21:04:09,8/12/19 21:04
,25,8/12/19,21:01:37,8/12/19 21:01
,12,8/12/19,20:59:11,8/12/19 20:59
,24,8/10/19,2:53:23,8/10/19 2:53
,15,8/8/19,23:08:11,8/8/19 23:08
,17,8/8/19,23:08:02,8/8/19 23:08
,27,8/8/19,23:05:44,8/8/19 23:05
,28,8/8/19,23:02:11,8/8/19 23:02
,32,8/8/19,23:01:40,8/8/19 23:01
,18,8/8/19,23:00:21,8/8/19 23:00
,30,8/8/19,22:59:28,8/8/19 22:59
,24,8/8/19,22:57:31,8/8/19 22:57
,17,8/8/19,22:56:25,8/8/19 22:56
,21,8/8/19,22:41:51,8/8/19 22:41
,21,8/8/19,22:23:35,8/8/19 22:23
,23,8/8/19,22:17:44,8/8/19 22:17
,31,8/8/19,22:15:44,8/8/19 22:15
,16,8/8/19,22:10:49,8/8/19 22:10
,17,8/8/19,21:55:20,8/8/19 21:55
,7,8/8/19,14:50:45,8/8/19 14:50
,23,8/8/19,13:51:08,8/8/19 13:51
,23,8/8/19,13:51:10,8/8/19 13:51
,27,8/8/19,13:50:41,8/8/19 13:50
,27,8/8/19,13:50:51,8/8/19 13:50
